App Name,Last Updated,Installs,Ratings,Adds,Genre
Candy Crush Saga,9-Apr-20,"1,000,000,000+",4.6,Contains Ads,Casual
Bubble Shooter,13-Apr-20,"100,000,000+",4.2,Contains Ads,Casual
Candy Crush Friends Saga,1-Apr-20,"10,000,000+",4.6,Contains Ads,Casual
Candy Crush Soda Saga,1-Apr-20,"100,000,000+",4.6,Contains Ads,Casual
Farm Heroes Saga,8-Apr-20,"100,000,000+",4.6,Contains Ads,Casual
Candy Crush Jelly Saga,7-Apr-20,"100,000,000+",4.5,Contains Ads,Puzzle
NR Shooter™,16-Mar-20,"10,000,000+",4.3,Contains Ads,Casual
Bubble Shooter 2,1-Apr-20,"10,000,000+",4.2,Contains Ads,Arcade
Break the Bubbles,22-Dec-19,"100,000+",4.3,Contains Ads,Casual
Bubble Shooter Space,27-Feb-20,"10,000,000+",4.1,Contains Ads,Casual
Crazy Candy Bomb - Sweet match 3 game,10-Apr-20,"1,000,000+",4.6,Contains Ads,Casual
Pet Rescue Saga,31-Mar-20,"100,000,000+",4.6,Contains Ads,Casual
Bubble Witch 3 Saga,31-Mar-20,"50,000,000+",4.6,Contains Ads,Puzzle
Farm Heroes Super Saga,7-Apr-20,"10,000,000+",4.5,Contains Ads,Casual
Gummy Candy Blast - Free Match 3 Puzzle Game,13-Apr-20,"1,000,000+",4.8,Contains Ads,Puzzle
Aura Bubbles,9-Apr-20,"10,000,000+",4,Contains Ads,Arcade
World Clock & Widget,30-Mar-20,"5,000,000+",4.5,Contains Ads,Productivity
Bubble Champion,8-Jul-19,"10,000,000+",4.3,Contains Ads,Puzzle
Bubble Shooter ™,23-Mar-20,"10,000,000+",4.2,Contains Ads,Puzzle
Bubble Poke™,27-Mar-20,"10,000,000+",4.4,Contains Ads,Casual
Bubble Freedom,17-Mar-20,"10,000,000+",4.3,Contains Ads,Adventure
Supreme Bubbles,6-Mar-20,"5,000,000+",4.2,Contains Ads,Casual
Bubble Shooter Legend,7-Apr-20,"10,000,000+",4.5,Contains Ads,Casual
Trivia Bubbles,24-Feb-20,"500,000+",4.4,Contains Ads,Casual
Bubble Heroes Galaxy,1-Apr-20,"500,000+",4.3,Contains Ads,Adventure
Bubble Shooter - Sugar Star,21-Oct-19,"500,000+",4.5,Contains Ads,Casual
Bubble Nova,6-Apr-20,"1,000,000+",4,Contains Ads,Adventure
Candy Mania,7-Sep-18,"100,000+",4.3,Contains Ads,Casual
Bubble Shooter 3,22-Mar-20,"5,000,000+",4.2,Contains Ads,Puzzle
Bubble Witch 2 Saga,7-Apr-20,"100,000,000+",4.6,Offers in-app purchases,Casual
Bubble Pop Spinner,28-Jul-19,"100,000+",4.4,Contains Ads,Arcade
Time Buddy - Clock & Converter,2-Jan-20,"100,000+",4.3,Contains Ads,Productivity
Farm Heroes Champions,10-Jul-19,"500,000+",4.2,,Puzzle
Bubble Shooter Blast,20-Jan-20,"500,000+",4.4,Contains Ads,Casual
World Clock by timeanddate.com,26-Mar-20,"1,000,000+",4.2,Contains Ads,Productivity
World Clock - Timezones and Travel Infos,20-Mar-20,"100,000+",4.5,Contains Ads,Travel & Local
Bubble Story - 2020 Bubble Shooter Adventure Game,2-Mar-20,"100,000+",4.6,Contains Ads,Casual
Bubble Shooter Breaker,2-May-19,"50,000+",4.2,Contains Ads,Puzzle
Candy Royal,1-Apr-20,"50,000+",4.3,Offers in-app purchases,Puzzle
Atomic Clock & Watch Accuracy Tool (with NTP Time),8-Oct-19,"100,000+",4.8,Offers in-app purchases,Tools
Sweet Candy Puzzle: Crush & Pop Free Match 3 Game,10-Apr-20,"100,000+",4.6,Contains Ads,Puzzle
AlphaBetty Saga,7-Apr-20,"10,000,000+",4.6,Contains Ads,Puzzle
Bubble Witch Saga,28-Jun-18,"10,000,000+",4.4,Offers in-app purchases,Casual
World Clock Widget,13-Nov-19,"1,000,000+",4.5,Contains Ads,Travel & Local
Candy Blast Mania,31-May-19,"10,000,000+",4.2,Contains Ads,Arcade
World Clock Widget +,"Eligible if bought after 7/2/2016.
",1.7M,4.4,,Tools
Block Puzzle Sliding,16-Mar-20,"100,000+",4.3,Contains Ads,Casual
Candy Day,7-Dec-19,"1,000,000+",4.5,Contains Ads,Casual
World Clock Pro - Timezones and City Infos,27-Feb-20,"5,000+",4.2,,Travel & Local
Bubble Elf 2- Pop Shooter !,16-Dec-19,"100,000+",4,Contains Ads,Puzzle
Balls Breaker,3-Feb-20,"1,000,000+",4.5,Contains Ads,Casual
Bird Legend,18-Dec-19,"10,000+",4.4,Contains Ads,Puzzle
Countdown by timeanddate.com,27-Mar-20,"100,000+",3.8,Contains Ads,Events
